,about_pages,age,complete,good,home,member_since,num_pos_list,num_refs_list,profile_len,sex
54,https://www.couchsurfing.com/people/tilmanb,['32'],['100'],1.0,Germany,['2006'],['28'],['51'],6809,Male
55,https://www.couchsurfing.com/people/jerzyminsk,['40'],['100'],1.0,Belarus,['2010'],['10'],['17'],1390,Male
56,https://www.couchsurfing.com/people/tonyhelsinki,['45'],['95'],1.0,Finland,['2012'],['26'],['29'],2852,Male
57,https://www.couchsurfing.com/people/soma2007,['37'],['100'],1.0,Egypt,['2008'],['15'],['18'],1741,Male
58,https://www.couchsurfing.com/people/kennethbambi,['35'],['100'],1.0,Finland,['2010'],['10'],['17'],1550,Male
59,https://www.couchsurfing.com/people/paver,['31'],['95'],1.0,Finland,['2010'],['24'],['28'],3035,Other
60,https://www.couchsurfing.com/people/juliacasado,['29'],['100'],1.0,Spain,['2013'],['4'],['4'],2027,Female
61,https://www.couchsurfing.com/people/olyus1,['31'],['100'],1.0,UK/USA,['2009'],['35'],['41'],3071,Male
62,https://www.couchsurfing.com/people/hypnoosi,['27'],['100'],1.0,listed,['2010'],['13'],['23'],2141,Female
63,https://www.couchsurfing.com/people/maria_and_jaakko,['30'],['100'],1.0,Helsinki,['2009'],['14'],['19'],2824,Other
64,https://www.couchsurfing.com/people/eldishnawy,['28'],['100'],1.0,Cairo,['2009'],['1'],['2'],2940,Male
65,https://www.couchsurfing.com/people/ritabrata.dutta1,['33'],['100'],1.0,India,['2012'],['27'],['29'],1049,Male
66,https://www.couchsurfing.com/people/peuhkura,['35'],['95'],1.0,Finland,['2008'],['17'],['20'],1784,Male
67,https://www.couchsurfing.com/people/peeetrs,['28'],['100'],1.0,listed,['2011'],['9'],['11'],1862,Male
68,https://www.couchsurfing.com/people/anri-anri-anri,['41'],['100'],1.0,listed,['2010'],['15'],['16'],1234,Female
69,https://www.couchsurfing.com/people/lanemane,['31'],['95'],1.0,HKI,['2011'],['13'],['16'],3165,Male
70,https://www.couchsurfing.com/people/hellohenrik,['33'],['100'],1.0,Helsinki,['2010'],['8'],['13'],1015,Male
71,https://www.couchsurfing.com/people/olli77,['39'],['100'],1.0,Finland,['2008'],flag,['27'],1008,Male
72,https://www.couchsurfing.com/people/frisco12,['37'],['100'],1.0,nomad,['2008'],['10'],['22'],2039,Male
73,https://www.couchsurfing.com/people/katri.alitupa,['28'],['100'],1.0,joensuu,['2012'],['2'],['2'],1139,Female
